Commodity,Fuel,CommodityGroup
INDSOL,Solar,Energy
INDWIN,Wind,Energy
INDWOD,Wood,Energy
INDWODWST,Wood waste,Energy
JET,Jet fuel,Energy
LNG,LNG,Energy
LPG,LPG,Energy
MNCWST,Municipal waste,Energy
NGA,Natural gas,Energy
OSWOD,Wood residuals (onsite),Energy
PET,Petrol,Energy
PLT,Wood Pellet,Energy
RESAGRWST,Agricultural waste,Energy
RESANMMNR,Animal manure,Energy
RESBDSL,Biodiesel,Energy
RESBIG,Biogas,Energy
RESCOA,Coal,Energy
RESDID,Drop-in Diesel,Energy
RESDIJ,Drop-in Jet fuel,Energy
RESDSL,Diesel,Energy
RESELC,Electricity,Energy
RESFOL,Fuel oil,Energy
RESGEO,Geothermal,Energy
RESH2R,Hydrogen,Energy
RESHYD,Hydro,Energy
RESINDOSDWOD,Wood residuals (onsite industrial),Energy
RESJET,Jet fuel,Energy
RESLNG,LNG,Energy
RESLPG,LPG,Energy
RESMNCWST,Municipal waste,Energy
RESNGA,Natural gas,Energy
RESOSWOD,Wood residuals (onsite),Energy
RESPET,Petrol,Energy
RESPLT,Wood Pellet,Energy
RESSOL,Solar,Energy
RESWIN,Wind,Energy
RESWOD,Wood,Energy
RESWODWST,Wood waste,Energy
SOL,Solar,Energy
TRAAGRWST,Agricultural waste,Energy
TRAANMMNR,Animal manure,Energy
TRABDSL,Biodiesel,Energy
TRABIG,Biogas,Energy
TRACOA,Coal,Energy
TRADID,Drop-in Diesel,Energy
TRADIJ,Drop-in Jet fuel,Energy
TRADSL,Diesel,Energy
TRAELC,Electricity,Energy
TRAFOL,Fuel oil,Energy
TRAGEO,Geothermal,Energy
TRAH2R,Hydrogen,Energy
TRAHYD,Hydro,Energy
TRAINDOSDWOD,Wood residuals (onsite industrial),Energy
TRAJET,Jet fuel,Energy
TRALNG,LNG,Energy
TRALPG,LPG,Energy
TRAMNCWST,Municipal waste,Energy
TRANGA,Natural gas,Energy
TRAOSWOD,Wood residuals (onsite),Energy
TRAPET,Petrol,Energy
TRAPLT,Wood Pellet,Energy
TRASOL,Solar,Energy
TRAWIN,Wind,Energy
TRAWOD,Wood,Energy
TRAWODWST,Wood waste,Energy
WIN,Wind,Energy
WOD,Wood,Energy
WODWST,Wood waste,Energy
