Year,TimeSlice,LoadCurve,Technology
2023,WIN-WK-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,WIN-WK-N,0.07117,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,WIN-WK-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,WIN-WE-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,WIN-WE-N,0.02824,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,WIN-WE-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WK-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WK-N,0.21444,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WK-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WE-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WE-N,0.08553,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SPR-WE-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
