"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2025","Fossil Fuels","Mobile Motive Power","3.590472"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2030","Fossil Fuels","Mobile Motive Power","3.699722"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2035","Fossil Fuels","Mobile Motive Power","3.984194"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2040","Fossil Fuels","Mobile Motive Power","4.290306"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2045","Fossil Fuels","Mobile Motive Power","2.083792"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2050","Fossil Fuels","Mobile Motive Power","2.237492"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2055","Fossil Fuels","Mobile Motive Power","2.646235"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Diesel","2060","Fossil Fuels","Mobile Motive Power","3.101462"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2018","Renewables (direct use)","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2025","Renewables (direct use)","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2030","Renewables (direct use)","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2035","Renewables (direct use)","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2040","Renewables (direct use)","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2045","Renewables (direct use)","Mobile Motive Power","2.604458"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2050","Renewables (direct use)","Mobile Motive Power","2.885119"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2055","Renewables (direct use)","Mobile Motive Power","2.951904"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Drop-In Diesel","2060","Renewables (direct use)","Mobile Motive Power","3.015482"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2018","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2025","Fossil Fuels","Mobile Motive Power","0.261654"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2030","Fossil Fuels","Mobile Motive Power","0.269615"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2035","Fossil Fuels","Mobile Motive Power","0.290346"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2040","Fossil Fuels","Mobile Motive Power","0.312654"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2045","Fossil Fuels","Mobile Motive Power","0.341654"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2050","Fossil Fuels","Mobile Motive Power","0.373308"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2055","Fossil Fuels","Mobile Motive Power","0.407962"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Mobile","PJ","Fuel Consumption","Natural Gas","2060","Fossil Fuels","Mobile Motive Power","0.445769"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2018","Fossil Fuels","Mobile Motive Power","0.028129"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2025","Fossil Fuels","Mobile Motive Power","0.000072"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Industry","Mining","Internal Combustion Engine","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Diesel","2040","Fossil Fuels","Mobile Motive Power","0.000000"
