ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_Geo_TauharaExpansionStage3,Tauhara expansion: Stage 3,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TikitereStage1,Tikitere (Stage 1),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar54,Generic solar (200MW+): 54,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar57,Generic solar (101-200MW): 57,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar58,Generic solar (<100 MW): 58,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar61,Generic solar (<100 MW): 61,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar63,Generic solar (<100 MW): 63,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar65,Generic solar (101-200MW): 65,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar74,Generic solar (101-200MW): 74,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar76,Generic solar (200MW+): 76,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar77,Generic solar (101-200MW): 77,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar78,Generic solar (101-200MW): 78,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar80,Generic solar (200MW+): 80,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar82,Generic solar (200MW+): 82,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
