ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_HydSC_Waipapa,Waipāpa,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_Waipipi,Waipipi,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Waipori,Waipori,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Wairakei,Wairakei,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_WairakeiBinary,Wairakei Binary,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Waitaki,Waitaki,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_WestWind,West Wind,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Whakamaru,Whakamaru,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_WheaoAndFlaxy,Wheao and Flaxy,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_DslPkr_Whirinaki,Whirinaki,Thermal,Diesel peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_WhiteHill,White Hill,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Rankine_HuntlyUnits14,Huntly Units 1-4,Thermal,Rankine,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydRR_BranchRiver,Branch River (Argyle + Wairau),Hydro,Hydro (Run-of-river),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasCHP_FonterraWhareroa,Fonterra Dairy - Whareroa,Thermal,Natural gas cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasCHP_Kapuni,Kapuni,Thermal,Natural gas cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Kawerau,Kawerau,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WoodCHP_Kinleith,Kinleith,Thermal,Wood Cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Matahina,Matahina,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgaAwaPurua,Nga Awa Pūrua,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_RoaringMeg,Roaring Meg,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TeAhiOMaui,Te Ahi O Maui,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasCHP_TeRapa,Te Rapa,Thermal,Natural gas cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_TokaanuMangaio,Tokaanu/Mangaio,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TOPP1,TOPP1,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarDist_Commercial,Commercial,Solar,Distributed Solar,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarDist_Industrial,Industrial,Solar,Distributed Solar,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarDist_Residential,Residential,Solar,Distributed Solar,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Generic,Generic hydro generation,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_Generic,Generic geothermal generation,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_BioRecip_Generic,Generic biogas generation,Thermal,Reciprocating Biogas,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_Generic,Generic wind generation,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_DslPkr_Generic,Generic diesel generation,Thermal,Diesel peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GeoCHP_Generic,Generic geothermal cogeneration,Geothermal,Geothermal Cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_BiogasCHP_Generic,Generic biogas cogeneration,Thermal,Biogas Cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WoodCHP_Generic,Generic wood cogeneration,Thermal,Wood Cogen,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TahekeGeothermalProject,Tāheke Geothermal Project,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_AtiamuriGeothermal,Ātiamuri Geothermal,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgawhaExpansionStage5,Ngāwhā Expansion: Stage 5,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_NgawhaExpansionStage6,Ngāwhā Expansion: Stage 6,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_ReporoaStage2,Reporoa: Stage 2,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TahekeStage2,Tāheke: Stage 2,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TahekeStage3,Tāheke: Stage 3,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TokaanuGeothermalStage2,Tokaanu Geothermal (Stage 2),Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_ArgyleSolarFarmNorthernArea,Argyle Solar Farm - Northern Area,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_DannevirkeSolarFarm,Dannevirke Solar Farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GreytownSolarFarmFNSF,Greytown Solar Farm (FNSF),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_OhauASolarPlant,Ohau A solar plant,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_TasmanDistrictSolarFarm,Tasman District solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WaitaraSolarFarm,Waitara solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GloritSolarFarm,Glorit solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GreytownSolarFarm,Greytown solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_HelensvilleSolarFarm,Helensville solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_ManiototoSolarFarm,Maniototo solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MartonSolarFarmHarmony,Marton Solar Farm (Harmony),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MartonSolarFarmEnergyFarmsLtd,Marton Solar Farm (Energy Farms Ltd),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MastertonSolarFarmNZClearnEnergy,Masterton Solar Farm (NZ Clearn Energy),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_MaungaturotoSolarFarm,Maungaturoto solar farm,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MoroaRoadSolarFarm,Moroa Road solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_OngaongaSolarHelios,Ongaonga solar (Helios),Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_OpunakeSolarFarmHarmonyEnergy,Ōpunake solar farm (Harmony Energy),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_OpunakeSolarFarmEnergyFarmsLtd,Ōpunake solar farm (Energy Farms Ltd),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_SkinnerRoadSolarFarm,Skinner Road solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_TaranakiSolarFarmMeridian,Taranaki solar farm (Meridian),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_ThePointSolarFarm,The Point solar farm,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_ThreeStreamsSolarFarm,Three Streams solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_TikokinoSolarFarm,Tikokino solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WaiparaSolarFarm,Waipara solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WairarapaSolarFarm,Wairarapa solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar55,Generic solar (101-200MW): 55,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar56,Generic solar (200MW+): 56,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar60,Generic solar (101-200MW): 60,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar62,Generic solar (<100 MW): 62,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar67,Generic solar (<100 MW): 67,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar75,Generic solar (200MW+): 75,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar79,Generic solar (<100 MW): 79,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar81,Generic solar (200MW+): 81,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar85,Generic solar (101-200MW): 85,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind13,Generic wind #13,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_ManawatuWindMeridian,Manawatū Wind (Meridian),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_PahiatuaWindFarm,Pahiatua Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_ProjectHurunuiWindFarm,Project Hurunui Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_SouthlandWindFarm,Southland Wind Farm,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TaranakiWindMeridian,Taranaki Wind (Meridian),Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind18,Generic Wind #18,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind20,Generic Wind #20,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind21,Generic Wind #21,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind24,Generic Wind #24,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind26,Generic Wind #26,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind27,Generic Wind #27,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind32,Generic Wind #32,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind37,Generic Wind #37,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind43,Generic Wind #43,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind47,Generic Wind #47,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind48,Generic Wind #48,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind49,Generic Wind #49,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind51,Generic Wind #51,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind52,Generic Wind #52,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind55,Generic Wind #55,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind61,Generic Wind #61,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind62,Generic Wind #62,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind69,Generic Wind #69,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind70,Generic Wind #70,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind71,Generic Wind #71,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind72,Generic Wind #72,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind74,Generic Wind #74,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind75,Generic Wind #75,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind79,Generic Wind #79,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_GenericWind82,Generic Wind #82,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_MangakinoGenericGeothermal,Mangakino generic geothermal,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_MakaiOutflow,Mākai outflow,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_ReporoaStage1,Reporoa: Stage 1,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_ReporoaStage3,Reporoa: Stage 3,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TauharaExpansionStage2,Tauhara expansion: Stage 2,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
