Connection point,Industrial,Commercial,Residential,Note
PAO1101POCOGN,0.195888285,0.067494182,0.736617533,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PEN0221VECTGN,0.035287001,0.130259443,0.834453556,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PEN0331VECTGN,0.026689815,0.115484213,0.857825972,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PEN1101VECTGN,0.025780094,0.223885328,0.750334578,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PNI0331CKHKGN,0.01618361,0.05678976,0.927026629,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PRM0331ELECGN,0.024995556,0.072817778,0.902186667,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
RDF0331HAWKGN,0.048396053,0.077826663,0.873777284,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
RFN1101WPOWGN,0.073200993,0.132754342,0.794044665,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
RFN1102WPOWGN,0.367673179,0.088809947,0.543516874,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ROS0221VECTGN,0.010086582,0.0664308,0.923482618,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ROS1101VECTGN,0.01634343,0.112617128,0.871039442,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ROT0111HAWKGN,0.021713955,0.055877244,0.922408801,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ROT0331HAWKGN,0.082941081,0.156792728,0.760266191,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
SBK0331MPOWGN,0.044276338,0.075314273,0.880409389,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
SBK0661MPOWGN,0.229156348,0.040944362,0.72989929,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
SDN0331DUNEGN,0.023955803,0.122779445,0.853264752,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
SFD0331POCOGN,0.216582673,0.083153348,0.700263979,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
STK0331NELSGN,0.019278946,0.143339506,0.837381549,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
STK0331TASMGN,0.054565863,0.06550076,0.879933377,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
STK0661TASMGN,0.120625,0.082410714,0.796964286,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
STU0111ALPEGN,0.170468557,0.05918619,0.770345253,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
SVL0331UNETGN,0.042990599,0.067355844,0.889653557,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TAK0331VECTGN,0.02573234,0.076284988,0.897982671,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TGA0111POCOGN,0.029343785,0.080896392,0.889759823,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TGA0331POCOGN,0.041382938,0.093637665,0.864979396,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TIM0111ALPEGN,0.061778419,0.090697158,0.847524423,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TKA0331ALPEGN,0.140461216,0.21278826,0.646750524,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TKR0331CKHKGN,0.020807979,0.070022856,0.909169165,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TKU0331LINEGN,0.03482382,0.070883989,0.89429219,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TMI0331POCOGN,0.074461242,0.055430471,0.870108288,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TMK0331ALPEGN,0.179194139,0.059487179,0.761318681,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TMU0111WAIPGN,0.150474344,0.068416315,0.781109341,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TRK0111HAWKGN,0.060266505,0.055420957,0.884312538,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TUI1101EASTGN,0.086314726,0.106825156,0.806860117,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TWC2201TRPGGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TWH0331WAIKGN,0.097680984,0.112845332,0.789473684,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TWI2201NZASGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TWZ0331ALPEGN,0.082452431,0.068181818,0.849365751,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
TWZ0331WATAGN,0.231481481,0.146604938,0.62191358,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
UHT0331CKHKGN,0.022969138,0.075026605,0.902004257,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WAI0111HEDLGN,0.129586623,0.088016721,0.782396656,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WAI0501HEDLGN,0.064176245,0.109195402,0.826628352,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
WDV0111SCANGN,0.186502177,0.091436865,0.722060958,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
