Year,TimeSlice,LoadCurve,Technology
2023,SUM-WK-P,0.003529567,C_OTH-SH
2023,SUM-WE-D,0.019515655,C_OTH-SH
2023,SUM-WE-N,0.005070845,C_OTH-SH
2023,SUM-WE-P,0.000935461,C_OTH-SH
2023,FAL-WK-D,0.127190335,C_OTH-SH
2023,FAL-WK-N,0.03777644,C_OTH-SH
2023,FAL-WK-P,0.009020004,C_OTH-SH
2023,FAL-WE-D,0.049873341,C_OTH-SH
2023,FAL-WE-N,0.012958825,C_OTH-SH
2023,FAL-WE-P,0.002390623,C_OTH-SH
2023,WIN-WK-D,0.228942604,C_OTH-SH
2023,WIN-WK-N,0.067997592,C_OTH-SH
2023,WIN-WK-P,0.016236008,C_OTH-SH
2023,WIN-WE-D,0.089772013,C_OTH-SH
2023,WIN-WE-N,0.023325885,C_OTH-SH
2023,WIN-WE-P,0.004303121,C_OTH-SH
2023,SPR-WK-D,0.125807832,C_OTH-SH
2023,SPR-WK-N,0.037365826,C_OTH-SH
2023,SPR-WK-P,0.008921961,C_OTH-SH
2023,SPR-WE-D,0.049331239,C_OTH-SH
2023,SPR-WE-N,0.012817968,C_OTH-SH
2023,SPR-WE-P,0.002364638,C_OTH-SH
2023,SUM-WK-D,0.221674493,C_OTH-SC
2023,SUM-WK-N,0.065838911,C_OTH-SC
2023,SUM-WK-P,0.015720572,C_OTH-SC
2023,SUM-WE-D,0.086922072,C_OTH-SC
2023,SUM-WE-N,0.022585372,C_OTH-SC
2023,SUM-WE-P,0.004166513,C_OTH-SC
2023,FAL-WK-D,0.141625371,C_OTH-SC
2023,FAL-WK-N,0.042063749,C_OTH-SC
2023,FAL-WK-P,0.010043699,C_OTH-SC
2023,FAL-WE-D,0.055533546,C_OTH-SC
2023,FAL-WE-N,0.014429543,C_OTH-SC
2023,FAL-WE-P,0.002661939,C_OTH-SC
2023,WIN-WK-D,0.028325074,C_OTH-SC
2023,WIN-WK-N,0.00841275,C_OTH-SC
2023,WIN-WK-P,0.00200874,C_OTH-SC
2023,WIN-WE-D,0.011106709,C_OTH-SC
2023,WIN-WE-N,0.002885909,C_OTH-SC
2023,WIN-WE-P,0.000532388,C_OTH-SC
2023,SPR-WK-D,0.140085964,C_OTH-SC
2023,SPR-WK-N,0.041606534,C_OTH-SC
2023,SPR-WK-P,0.009934528,C_OTH-SC
2023,SPR-WE-D,0.054929921,C_OTH-SC
2023,SPR-WE-N,0.0142727,C_OTH-SC
2023,SPR-WE-P,0.002633004,C_OTH-SC
2023,SUM-WK-D,0.111448851,C_EDU*
2023,SUM-WK-N,0.111112739,C_EDU*
2023,SUM-WK-P,0.009808051,C_EDU*
2023,SUM-WE-D,0.035416247,C_EDU*
2023,SUM-WE-N,0.040565771,C_EDU*
2023,SUM-WE-P,0.002974939,C_EDU*
2023,FAL-WK-D,0.096144304,C_EDU*
2023,FAL-WK-N,0.090881504,C_EDU*
2023,FAL-WK-P,0.00894437,C_EDU*
2023,FAL-WE-D,0.032048752,C_EDU*
2023,FAL-WE-N,0.033984908,C_EDU*
2023,FAL-WE-P,0.002752524,C_EDU*
2023,WIN-WK-D,0.114421019,C_EDU*
2023,WIN-WK-N,0.100912067,C_EDU*
2023,WIN-WK-P,0.010496849,C_EDU*
2023,WIN-WE-D,0.036153025,C_EDU*
2023,WIN-WE-N,0.03683164,C_EDU*
2023,WIN-WE-P,0.003129625,C_EDU*
2023,SPR-WK-D,0.096144304,C_EDU*
2023,SPR-WK-N,0.090881504,C_EDU*
2023,SPR-WK-P,0.00894437,C_EDU*
2023,SPR-WE-D,0.032048752,C_EDU*
2023,SPR-WE-N,0.033984908,C_EDU*
2023,SPR-WE-P,0.002752524,C_EDU*
2023,SUM-WK-D,0.111411803,C_OFFC*
2023,SUM-WK-N,0.084277591,C_OFFC*
2023,SUM-WK-P,0.008401094,C_OFFC*
2023,SUM-WE-D,0.023598713,C_OFFC*
2023,SUM-WE-N,0.023311145,C_OFFC*
2023,SUM-WE-P,0.001999006,C_OFFC*
2023,FAL-WK-D,0.10560525,C_OFFC*
2023,FAL-WK-N,0.077567412,C_OFFC*
2023,FAL-WK-P,0.008319936,C_OFFC*
2023,FAL-WE-D,0.02128157,C_OFFC*
2023,FAL-WE-N,0.021573589,C_OFFC*
2023,FAL-WE-P,0.001852349,C_OFFC*
2023,WIN-WK-D,0.140306025,C_OFFC*
2023,WIN-WK-N,0.102863165,C_OFFC*
2023,WIN-WK-P,0.011126191,C_OFFC*
2023,WIN-WE-D,0.028736716,C_OFFC*
2023,WIN-WE-N,0.028906609,C_OFFC*
2023,WIN-WE-P,0.002502722,C_OFFC*
2023,SPR-WK-D,0.085480572,C_OFFC*
2023,SPR-WK-N,0.066730286,C_OFFC*
2023,SPR-WK-P,0.006784934,C_OFFC*
2023,SPR-WE-D,0.01762217,C_OFFC*
2023,SPR-WE-N,0.018256468,C_OFFC*
2023,SPR-WE-P,0.001484685,C_OFFC*
2023,SUM-WK-D,0.121758463,C_WSR*
2023,SUM-WK-N,0.071840192,C_WSR*
