techname,sets,tact,tcap
ELC_SolarFixed_GenericSolar85,ELE,PJ,GW
ELC_SolarFixed_GenericSolar12,ELE,PJ,GW
ELC_SolarFixed_GenericSolar13,ELE,PJ,GW
ELC_SolarFixed_GenericSolar14,ELE,PJ,GW
ELC_SolarFixed_GenericSolar15,ELE,PJ,GW
ELC_SolarFixed_GenericSolar16,ELE,PJ,GW
ELC_SolarFixed_GenericSolar17,ELE,PJ,GW
ELC_SolarFixed_GenericSolar18,ELE,PJ,GW
ELC_SolarFixed_GenericSolar19,ELE,PJ,GW
ELC_SolarFixed_GenericSolar2,ELE,PJ,GW
ELC_SolarFixed_GenericSolar21,ELE,PJ,GW
ELC_SolarFixed_GenericSolar25,ELE,PJ,GW
ELC_SolarFixed_GenericSolar28,ELE,PJ,GW
ELC_SolarFixed_GenericSolar29,ELE,PJ,GW
ELC_SolarFixed_GenericSolar3,ELE,PJ,GW
ELC_SolarFixed_GenericSolar33,ELE,PJ,GW
ELC_SolarFixed_GenericSolar39,ELE,PJ,GW
ELC_SolarFixed_GenericSolar43,ELE,PJ,GW
ELC_SolarFixed_GenericSolar49,ELE,PJ,GW
ELC_SolarFixed_GenericSolar51,ELE,PJ,GW
ELC_SolarFixed_GenericSolar54,ELE,PJ,GW
ELC_SolarFixed_GenericSolar56,ELE,PJ,GW
ELC_SolarFixed_GenericSolar6,ELE,PJ,GW
ELC_SolarFixed_GenericSolar69,ELE,PJ,GW
ELC_SolarFixed_GenericSolar7,ELE,PJ,GW
ELC_SolarFixed_GenericSolar71,ELE,PJ,GW
ELC_SolarFixed_GenericSolar72,ELE,PJ,GW
ELC_SolarFixed_GenericSolar75,ELE,PJ,GW
ELC_SolarFixed_GenericSolar76,ELE,PJ,GW
ELC_SolarFixed_GenericSolar8,ELE,PJ,GW
ELC_SolarFixed_GenericSolar80,ELE,PJ,GW
ELC_SolarFixed_GenericSolar81,ELE,PJ,GW
ELC_SolarFixed_GenericSolar82,ELE,PJ,GW
ELC_SolarFixed_GenericSolar87,ELE,PJ,GW
ELC_SolarFixed_GenericSolar88,ELE,PJ,GW
ELC_SolarFixed_GenericSolar90,ELE,PJ,GW
ELC_SolarFixed_GenericSolar40,ELE,PJ,GW
ELC_SolarFixed_GenericSolar41,ELE,PJ,GW
ELC_SolarFixed_GenericSolar46,ELE,PJ,GW
ELC_SolarFixed_GenericSolar58,ELE,PJ,GW
ELC_SolarFixed_GenericSolar61,ELE,PJ,GW
ELC_SolarFixed_GenericSolar62,ELE,PJ,GW
