Process,CommodityIn,CommodityOut,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
C_OFFC-WH-Boiler-ELC,COMELC,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-BIG,COMBIG,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-H2R,COMH2R,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-GHP-ELC,COMELC,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_OFFC-WH-GHP-ELC,COMELC,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_OFFC-WH-Cylinder-LPG,COMLPG,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_OFFC-WH-Instant-NGA,COMNGA,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OFFC-WH-Instant-LPG,COMLPG,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OFFC-WH-Instant-ELC,COMELC,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OFFC-MPM-MPM-PET,COMPET,C_OFFC-MPM,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OFFC-MPM-MPM-ELC,COMELC,C_OFFC-MPM,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OFFC-MPM-MPM-H2R,COMH2R,C_OFFC-MPM,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OFFC-MPS-MPS-DSL,COMDSL,C_OFFC-MPS,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OFFC-MPS-MPS-PET,COMPET,C_OFFC-MPS,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OFFC-MPS-MPS-LPG,COMLPG,C_OFFC-MPS,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OFFC-MPS-MPS-H2R,COMH2R,C_OFFC-MPS,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OFFC-SC-GHP-ELC,COMELC,C_OFFC-SC,Office Blocks,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
C_WSR-CK-Induction-ELC,COMELC,C_WSR-CK,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Inductions
C_WSR-CK-CK-NGA,COMNGA,C_WSR-CK,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
C_WSR-CK-CK-LPG,COMLPG,C_WSR-CK,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
C_WSR-CK-CK-H2R,COMH2R,C_WSR-CK,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
C_WSR-CK-Ovens-H2R,COMH2R,C_WSR-CK,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Ovens
C_WSR-SH-Boiler-WOD,COMWOD,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-SH-Boiler-PLT,COMPLT,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-SH-Boiler-ELC,COMELC,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_WSR-SH-Boiler-BIG,COMBIG,C_WSR-SH,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
