"Scenario","Attribute","Commodity","Process","Period","Value","Sector","Subsector","Technology","Fuel","Enduse","Unit","Parameters","FuelGroup","FuelSourceProcess","CommoditySet","ProcessSet","Technology_Group"
"Tui","VAR_Cap","-","T_C_CBEVNEW15","2040","0.144689","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2025","20.131624","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2030","112.855292","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2035","112.855292","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2040","112.855292","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2045","101.581027","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET","2050","40.795856","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2025","48.646768","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2030","228.992426","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2035","360.946116","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2040","360.751860","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2045","333.467711","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2050","211.308478","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2055","58.066998","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET","2060","0.013139","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET15","2018","0.010290","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET15","2025","0.007622","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET15","2030","0.005717","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET15","2035","0.003811","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CHYBPET15","2040","0.001906","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET15","2018","0.010290","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET15","2025","0.007622","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET15","2030","0.005717","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET15","2035","0.003811","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CHYBPET15","2040","0.001906","Transport","Road Transport","Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEDSL15","2018","459.725330","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEDSL15","2025","313.449089","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEDSL15","2030","208.966059","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEDSL15","2035","104.483030","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEDSL15","2018","459.725330","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEDSL15","2025","313.449089","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEDSL15","2030","208.966059","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEDSL15","2035","104.483030","Transport","Road Transport","Internal Combustion Engine","Diesel","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICELPG15","2018","0.314860","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICELPG15","2025","0.233230","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICELPG15","2030","0.174922","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICELPG15","2035","0.116615","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICELPG15","2040","0.058307","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICELPG15","2018","0.314860","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICELPG15","2025","0.233230","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICELPG15","2030","0.174922","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICELPG15","2035","0.116615","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICELPG15","2040","0.058307","Transport","Road Transport","Internal Combustion Engine","LPG","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET","2025","207.619792","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET","2030","207.619792","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET","2035","207.619792","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET","2040","175.155826","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET","2045","51.781484","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET","2025","206.251162","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET","2030","206.251162","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET","2035","206.251162","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET","2040","186.782998","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET","2045","67.017973","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET15","2018","154.079060","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET15","2025","114.132637","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET15","2030","85.599478","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET15","2035","57.066319","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CICEPET15","2040","28.533159","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET15","2018","154.079060","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET15","2025","114.132637","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET15","2030","85.599478","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET15","2035","57.066319","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CICEPET15","2040","28.533159","Transport","Road Transport","Internal Combustion Engine","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2035","0.001531","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2040","0.003413","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2045","0.005354","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2050","0.007300","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2055","0.008764","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CPHEVPET","2060","0.009537","Transport","Road Transport","Plug-In Hybrid Vehicle","Petrol","Van/Ute","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTICEDSL15","2018","59.018317","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTICEDSL15","2025","43.717272","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTICEDSL15","2030","32.787954","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTICEDSL15","2035","21.858636","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTICEDSL15","2040","10.929318","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTICEDSL15","2018","59.018317","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTICEDSL15","2025","43.717272","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTICEDSL15","2030","32.787954","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTICEDSL15","2035","21.858636","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTICEDSL15","2040","10.929318","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2025","8.848450","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2030","17.244753","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2035","24.843287","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2040","33.668297","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2045","42.802454","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2050","43.069869","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2055","44.820676","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrBEVELC","2060","46.396403","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2030","11.053816","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2035","20.592681","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2040","29.606238","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2045","45.821473","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2050","50.000000","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2055","50.568182","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrBEVELC","2060","50.568182","Transport","Road Transport","Battery Electric Vehicle","Electricity","Heavy Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrICEDSL","2025","3.419035","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrICEDSL","2030","3.419035","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrICEDSL","2035","3.419035","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_HTrICEDSL","2040","2.150578","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrICEDSL","2025","14.180210","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrICEDSL","2030","14.180210","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrICEDSL","2035","14.180210","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrICEDSL","2040","12.672218","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_F_HTrICEDSL","2045","4.322619","Transport","Road Transport","Internal Combustion Engine","Diesel","Heavy Truck","000 Vehicles","Number of Vehicles","Fossil Fuels","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_F_MBEVELC15","2018","0.026000","Transport","Road Transport","Battery Electric Vehicle","Electricity","Medium Truck","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
