STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,ETHNICITY_POPPR_ETH_005,Ethnicity,PROJECTION_POPPR_ETH_005,Projection,AREA_POPPR_ETH_005,Area,YEAR_POPPR_ETH_005,Year,MEASURE_POPPR_ETH_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2028,2028,TOTPOP,,265000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2033,2033,TOTPOP,,269900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2038,2038,TOTPOP,,273200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2043,2043,TOTPOP,,275500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2018,2018,TOTPOP,,525900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2023,2023,TOTPOP,,554200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2028,2028,TOTPOP,,570200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2033,2033,TOTPOP,,584200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2038,2038,TOTPOP,,595800,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,09,Wellington region,2043,2043,TOTPOP,,605300,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2018,2018,TOTPOP,,32400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2023,2023,TOTPOP,,32500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2028,2028,TOTPOP,,32600,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2033,2033,TOTPOP,,32500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2038,2038,TOTPOP,,32100,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,12,West Coast region,2043,2043,TOTPOP,,31400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2018,2018,TOTPOP,,622800,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2023,2023,TOTPOP,,661300,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2028,2028,TOTPOP,,689900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2033,2033,TOTPOP,,716000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2038,2038,TOTPOP,,739700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,13,Canterbury region,2043,2043,TOTPOP,,761300,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2018,2018,TOTPOP,,235000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2023,2023,TOTPOP,,250900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2028,2028,TOTPOP,,259500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2033,2033,TOTPOP,,267000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2038,2038,TOTPOP,,273300,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,14,Otago region,2043,2043,TOTPOP,,278500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2018,2018,TOTPOP,,100500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2023,2023,TOTPOP,,103800,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2028,2028,TOTPOP,,105700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2033,2033,TOTPOP,,107100,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,15,Southland region,2038,2038,TOTPOP,,108000,
