Scenario,Attribute,Variable,ProcessGroup,Process,PlantName,TechnologyGroup,Technology,CommodityGroup,Commodity,Fuel,Region,Vintage,TimeSlice,Period,Value,Unit
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_WhiteHill,White Hill,Wind,Onshore wind,,-,,SI,0,-,2023,0.058,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_HydSC_Generic,Generic hydro generation,Hydro,Hydro (Schedulable),,-,,SI,0,-,2024,0.0395910604116933,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Commercial,Commercial,Solar,Distributed Solar,,-,,SI,0,-,2024,0.0106229,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Industrial,Industrial,Solar,Distributed Solar,,-,,SI,0,-,2024,0.0157947,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Residential,Residential,Solar,Distributed Solar,,-,,SI,0,-,2024,0.071383,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_Generic,Generic wind generation,Wind,Onshore wind,,-,,SI,0,-,2024,0.0030346719226557,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_KaiwaraDownsS1,Kaiwera Downs Stage 1,Wind,Onshore wind,,-,,SI,0,-,2024,0.043,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_WhiteHill,White Hill,Wind,Onshore wind,,-,,SI,0,-,2024,0.058,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_HydSC_Generic,Generic hydro generation,Hydro,Hydro (Schedulable),,-,,SI,0,-,2025,0.035192053699283,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Commercial,Commercial,Solar,Distributed Solar,,-,,SI,0,-,2025,0.0100638,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Industrial,Industrial,Solar,Distributed Solar,,-,,SI,0,-,2025,0.0149634,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_SolarDist_Residential,Residential,Solar,Distributed Solar,,-,,SI,0,-,2025,0.067626,GW
times-nz_v300_trad,VAR_Cap,Electricity generation capacity,Electricity generation,ELC_WindOn_Generic,Generic wind generation,Wind,Onshore wind,,-,,SI,0,-,2025,0.0029082272592117,GW
