Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,Fuel,CommodityGroup
VAR_FOut,TRAJET,IMPNRGZ,2025,NI,2025,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,LPG,IMPNRGZ,2026,NI,2026,ANNUAL,-,5.61636314953356,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2026,NI,2026,ANNUAL,-,5.97499208536518,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2026,NI,2026,ANNUAL,-,0.889429221999983,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2026,NI,2026,ANNUAL,-,5.6963584442,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2026,NI,2026,ANNUAL,-,0.280045853499999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2026,NI,2026,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2026,NI,2026,ANNUAL,-,10.019966724375,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2026,NI,2026,ANNUAL,-,0.496665287999995,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2026,NI,2026,ANNUAL,-,0.15249687662499,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,JET,IMPNRGZ,2026,NI,2026,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
