UC_N,Pset_PN,UC_ATTR,Year,LimType,UC_CAP,UC_CAP~RHS,UC_RHSRT,UC_RHSRT~0
T_P_MBEVELC_MED_SHR,T_P_MBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MBEVELC_LOW,T_P_MBEVELC_HIGH",,,,-0.3333,,,
T_P_MBEVELC_LOW_SHR,T_P_MBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MBEVELC_MED,T_P_MBEVELC_HIGH",,,,-0.3333,,,
T_P_MBEVELC_HIGH_SHR,T_P_MBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MBEVELC_LOW,T_P_MBEVELC_MED",,,,-0.3333,,,
T_P_BICEPET_MED_SHR,T_P_BICEPET_MED,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICEPET_LOW,T_P_BICEPET_HIGH",,,,-0.3333,,,
T_P_BICEPET_LOW_SHR,T_P_BICEPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICEPET_MED,T_P_BICEPET_HIGH",,,,-0.3333,,,
T_P_BICEPET_HIGH_SHR,T_P_BICEPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,0
,"T_P_BICEPET_LOW,T_P_BICEPET_MED",,,,-0.3333,,,
T_P_BICEDSL_MED_SHR,T_P_BICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BICEDSL_LOW,T_P_BICEDSL_HIGH",,,,-0.3333,,,
T_P_BICEDSL_LOW_SHR,T_P_BICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BICEDSL_MED,T_P_BICEDSL_HIGH",,,,-0.3333,,,
T_P_BICEDSL_HIGH_SHR,T_P_BICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BICEDSL_LOW,T_P_BICEDSL_MED",,,,-0.3333,,,
T_P_BBEVELC_MED_SHR,T_P_BBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BBEVELC_LOW,T_P_BBEVELC_HIGH",,,,-0.3333,,,
T_P_BBEVELC_LOW_SHR,T_P_BBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_BBEVELC_MED,T_P_BBEVELC_HIGH",,,,-0.3333,,,
T_P_BBEVELC_HIGH_SHR,T_P_BBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
