Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/05/2014,1,Northland,All combined,Solar (All),10,0.17235,0.057,5.700,0,
31/05/2014,2,Auckland,All combined,Solar (All),13,0.09393,0.103,7.915,1,2.000
31/05/2014,3,Waikato,All combined,Solar (All),12,0.07837,0.162,13.500,2,7.900
31/05/2014,4,Bay of Plenty,All combined,Solar (All),6,0.13032,0.088,14.667,0,
31/05/2014,6,Hawke's Bay,All combined,Solar (All),6,0.10973,0.075,12.483,1,10.000
31/05/2014,7,Taranaki,All combined,Solar (All),2,0.04769,0.009,4.500,0,
31/05/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02425,0.021,10.500,1,9.000
31/05/2014,9,Wellington,All combined,Solar (All),8,0.14728,0.083,10.388,0,
31/05/2014,16,Tasman,All combined,Solar (All),1,0.04907,0.002,2.400,0,
31/05/2014,17,Nelson,All combined,Solar (All),4,0.41885,0.028,7.025,0,
31/05/2014,18,Marlborough,All combined,Solar (All),8,0.66556,0.077,9.625,1,10.000
31/05/2014,13,Canterbury,All combined,Solar (All),32,0.16295,0.181,5.653,4,2.000
31/05/2014,14,Otago,All combined,Solar (All),8,0.12390,0.094,11.750,0,
31/05/2014,15,Southland,All combined,Solar (All),3,0.04819,0.052,17.290,0,
30/06/2014,1,Northland,All combined,Solar (All),10,0.17112,0.057,5.700,0,
30/06/2014,2,Auckland,All combined,Solar (All),16,0.11409,0.113,7.056,3,3.333
30/06/2014,3,Waikato,All combined,Solar (All),13,0.08267,0.172,13.231,1,10.000
30/06/2014,4,Bay of Plenty,All combined,Solar (All),6,0.12909,0.088,14.667,0,
30/06/2014,6,Hawke's Bay,All combined,Solar (All),8,0.14556,0.089,11.063,2,6.800
30/06/2014,7,Taranaki,All combined,Solar (All),2,0.04686,0.009,4.500,0,
