Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/03/2014,5,Gisborne,All combined,Solar (All),1,0.06305,0.005,5.000,0,
31/03/2014,6,Hawke's Bay,All combined,Solar (All),3,0.04741,0.014,4.633,0,
31/03/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03642,0.119,29.625,1,100.000
31/03/2014,9,Wellington,All combined,Solar (All),7,0.03718,0.034,4.786,0,
31/03/2014,16,Tasman,All combined,Solar (All),3,0.17689,0.025,8.333,1,15.000
31/03/2014,17,Nelson,All combined,Solar (All),8,0.32389,0.064,8.050,0,
31/03/2014,18,Marlborough,All combined,Solar (All),3,0.12653,0.013,4.333,0,
31/03/2014,12,West Coast,All combined,Solar (All),1,0.04548,0.003,3.000,0,
31/03/2014,13,Canterbury,All combined,Solar (All),18,0.07730,0.110,6.090,0,
31/03/2014,14,Otago,All combined,Solar (All),5,0.04103,0.042,8.418,0,
31/03/2014,15,Southland,All combined,Solar (All),1,0.02091,0.004,4.000,0,
30/04/2014,1,Northland,All combined,Solar (All),8,0.07930,0.049,6.175,1,20.000
30/04/2014,2,Auckland,All combined,Solar (All),19,0.03234,0.094,4.955,0,
30/04/2014,3,Waikato,All combined,Solar (All),12,0.05374,0.089,7.400,0,
30/04/2014,4,Bay of Plenty,All combined,Solar (All),9,0.06968,0.134,14.844,0,
30/04/2014,5,Gisborne,All combined,Solar (All),1,0.06289,0.005,5.000,0,
30/04/2014,6,Hawke's Bay,All combined,Solar (All),4,0.06296,0.024,5.975,1,10.000
30/04/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03644,0.119,29.625,0,
30/04/2014,9,Wellington,All combined,Solar (All),8,0.04257,0.038,4.688,1,4.000
30/04/2014,16,Tasman,All combined,Solar (All),3,0.17836,0.025,8.333,0,
30/04/2014,17,Nelson,All combined,Solar (All),8,0.32494,0.064,8.050,0,
30/04/2014,18,Marlborough,All combined,Solar (All),3,0.12610,0.013,4.333,0,
30/04/2014,12,West Coast,All combined,Solar (All),1,0.04570,0.003,3.000,0,
30/04/2014,13,Canterbury,All combined,Solar (All),18,0.07729,0.110,6.090,0,
30/04/2014,14,Otago,All combined,Solar (All),5,0.04104,0.042,8.418,0,
30/04/2014,15,Southland,All combined,Solar (All),2,0.04185,0.007,3.500,1,3.000
31/05/2014,1,Northland,All combined,Solar (All),8,0.07931,0.049,6.175,0,
31/05/2014,2,Auckland,All combined,Solar (All),22,0.03741,0.151,6.870,3,19.000
31/05/2014,3,Waikato,All combined,Solar (All),13,0.05822,0.092,7.062,1,3.000
31/05/2014,4,Bay of Plenty,All combined,Solar (All),11,0.08513,0.140,12.691,2,3.000
31/05/2014,5,Gisborne,All combined,Solar (All),1,0.06321,0.005,5.000,0,
31/05/2014,6,Hawke's Bay,All combined,Solar (All),4,0.06229,0.024,5.975,0,
31/05/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03636,0.119,29.625,0,
31/05/2014,9,Wellington,All combined,Solar (All),11,0.05836,0.050,4.500,3,4.000
31/05/2014,16,Tasman,All combined,Solar (All),4,0.23795,0.031,7.750,1,6.000
31/05/2014,17,Nelson,All combined,Solar (All),8,0.32481,0.064,8.050,0,
31/05/2014,18,Marlborough,All combined,Solar (All),3,0.12610,0.013,4.333,0,
31/05/2014,12,West Coast,All combined,Solar (All),1,0.04560,0.003,3.000,0,
31/05/2014,13,Canterbury,All combined,Solar (All),21,0.09004,0.121,5.744,3,3.667
31/05/2014,14,Otago,All combined,Solar (All),5,0.04105,0.042,8.418,0,
31/05/2014,15,Southland,All combined,Solar (All),3,0.06260,0.012,4.000,1,5.000
30/06/2014,1,Northland,All combined,Solar (All),8,0.07994,0.049,6.175,0,
30/06/2014,2,Auckland,All combined,Solar (All),24,0.04095,0.160,6.685,2,4.650
30/06/2014,3,Waikato,All combined,Solar (All),13,0.05902,0.092,7.062,0,
30/06/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09299,0.145,12.083,1,5.400
30/06/2014,5,Gisborne,All combined,Solar (All),1,0.06390,0.005,5.000,0,
30/06/2014,6,Hawke's Bay,All combined,Solar (All),5,0.07797,0.029,5.780,1,5.000
30/06/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03652,0.119,29.625,0,
30/06/2014,9,Wellington,All combined,Solar (All),15,0.07960,0.067,4.433,4,4.250
30/06/2014,16,Tasman,All combined,Solar (All),4,0.23881,0.031,7.750,0,
30/06/2014,17,Nelson,All combined,Solar (All),8,0.32587,0.066,8.238,0,
30/06/2014,18,Marlborough,All combined,Solar (All),3,0.12610,0.013,4.333,0,
