STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_012,Area,CEN23_HED_003,Main types of heating used,CEN23_DTD_004,Private dwelling type,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,5,Wood burner,11,,72600,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,5,Wood burner,12,,3846,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,5,Wood burner,13,,144,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,5,Wood burner,999,,76593,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,6,Pellet fire,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,6,Pellet fire,11,,1689,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,6,Pellet fire,12,,180,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,6,Pellet fire,13,,3,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,6,Pellet fire,999,,1869,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,7,Coal burner,10,,0,,,
