ScenarioCSIRO,Hours,Year,Value,Unit,Notes
Global NZE by 2050,8,2025,290,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2026,249,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2027,219,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2028,195,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2029,177,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2030,164,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2031,157,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2032,150,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2033,143,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2034,137,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2035,131,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2036,125,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2037,120,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2038,115,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2039,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2040,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2041,110,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
