techname,sets,tact,tcap
C_EDU-SH-RH-ELC,DMD,PJ,GW
C_EDU-WH-AIRHP-ELC,DMD,PJ,GW
C_EDU-WH-Boiler-BIM,DMD,PJ,GW
C_EDU-WH-Boiler-COA,DMD,PJ,GW
C_EDU-WH-Boiler-H2R,DMD,PJ,GW
C_EDU-WH-Boiler-PLT,DMD,PJ,GW
C_EDU-WH-Boiler-WOD,DMD,PJ,GW
C_EDU-WH-Cylinder-ELC,DMD,PJ,GW
C_EDU-WH-Cylinder-NGA,DMD,PJ,GW
C_HLTH-LT-FLU-ELC,DMD,PJ,GW
C_HLTH-LT-INC-ELC,DMD,PJ,GW
C_HLTH-LT-LED-ELC,DMD,PJ,GW
C_HLTH-MPM-MPM-DSL,DMD,PJ,GW
C_HLTH-MPM-MPM-ELC,DMD,PJ,GW
C_HLTH-MPM-MPM-H2R,DMD,PJ,GW
C_HLTH-MPS-MPS-ELC,DMD,PJ,GW
C_HLTH-MPS-MPS-H2R,DMD,PJ,GW
C_HLTH-OTH-ELEC-ELC,DMD,PJ,GW
C_HLTH-PH-Boiler-BIM,DMD,PJ,GW
C_HLTH-PH-Boiler-COA,DMD,PJ,GW
C_HLTH-PH-Boiler-H2R,DMD,PJ,GW
C_HLTH-PH-Boiler-PLT,DMD,PJ,GW
C_HLTH-PH-Boiler-WOD,DMD,PJ,GW
C_HLTH-PH-Burner-BIG,DMD,PJ,GW
C_HLTH-PH-RH-ELC,DMD,PJ,GW
C_HLTH-RF-Refriger-ELC,DMD,PJ,GW
C_HLTH-SC-AIRHP-ELC,DMD,PJ,GW
C_HLTH-SH-AIRHP-ELC,DMD,PJ,GW
C_HLTH-SH-Boiler-BIM,DMD,PJ,GW
C_HLTH-SH-Boiler-COA,DMD,PJ,GW
C_HLTH-SH-Boiler-DSL,DMD,PJ,GW
C_HLTH-SH-Boiler-ELC,DMD,PJ,GW
C_HLTH-SH-Boiler-H2R,DMD,PJ,GW
C_HLTH-SH-Boiler-NGA,DMD,PJ,GW
C_HLTH-SH-Boiler-PLT,DMD,PJ,GW
C_HLTH-SH-Boiler-WOD,DMD,PJ,GW
C_HLTH-SH-HEATX-GEO,DMD,PJ,GW
C_HLTH-SH-RH-ELC,DMD,PJ,GW
C_HLTH-WH-AIRHP-ELC,DMD,PJ,GW
C_HLTH-WH-Boiler-BIM,DMD,PJ,GW
C_HLTH-WH-Boiler-COA,DMD,PJ,GW
C_HLTH-WH-Boiler-ELC,DMD,PJ,GW
C_HLTH-WH-Boiler-H2R,DMD,PJ,GW
C_HLTH-WH-Boiler-PLT,DMD,PJ,GW
C_HLTH-WH-Boiler-WOD,DMD,PJ,GW
C_HLTH-WH-Cylinder-ELC,DMD,PJ,GW
C_OFFC-LT-FLU-ELC,DMD,PJ,GW
C_OFFC-LT-INC-ELC,DMD,PJ,GW
C_OFFC-LT-LED-ELC,DMD,PJ,GW
C_OFFC-MPM-MPM-DSL,DMD,PJ,GW
C_OFFC-MPM-MPM-ELC,DMD,PJ,GW
C_OFFC-MPM-MPM-H2R,DMD,PJ,GW
C_OFFC-MPM-MPM-LPG,DMD,PJ,GW
C_OFFC-MPM-MPM-NGA,DMD,PJ,GW
C_OFFC-MPS-MPS-ELC,DMD,PJ,GW
C_OFFC-MPS-MPS-H2R,DMD,PJ,GW
C_OFFC-OTH-ELEC-ELC,DMD,PJ,GW
C_OFFC-SC-AIRHP-ELC,DMD,PJ,GW
C_OFFC-SH-AIRHP-ELC,DMD,PJ,GW
C_OFFC-SH-Boiler-BIM,DMD,PJ,GW
C_OFFC-SH-Boiler-COA,DMD,PJ,GW
C_OFFC-SH-Boiler-DSL,DMD,PJ,GW
C_OFFC-SH-Boiler-ELC,DMD,PJ,GW
C_OFFC-SH-Boiler-H2R,DMD,PJ,GW
C_OFFC-SH-Boiler-NGA,DMD,PJ,GW
C_OFFC-SH-Boiler-PLT,DMD,PJ,GW
C_OFFC-SH-Boiler-WOD,DMD,PJ,GW
C_OFFC-SH-Burner-NGA,DMD,PJ,GW
C_OFFC-SH-RH-ELC,DMD,PJ,GW
